feature,rho,p_value,abs_rho,target
Lacunarity,-0.6207932952020315,1.778984726347988e-87,0.6207932952020315,concentration
Area (microns^2),0.6207932952020315,1.778984726347988e-87,0.6207932952020315,concentration
Total Length (microns),0.6132341256212752,7.913890894536717e-85,0.6132341256212752,concentration
n_HistANG,0.5952942116054385,8.024166527954357e-79,0.5952942116054385,concentration
Box-Counting Fractal Dimension,0.5923992841459665,6.89305531397539e-78,0.5923992841459665,concentration
Branchpoints,0.559773469909331,5.507669376632819e-68,0.559773469909331,concentration
texture_std_asmmean.,-0.5169804849019259,1.4818880827702914e-56,0.5169804849019259,concentration
texture_std_correlationmean.,-0.5001870902042436,1.691780745041571e-52,0.5001870902042436,concentration
texture_std_homogeneitymean.,-0.417416411678894,1.7168388261570718e-35,0.417416411678894,concentration
texture_std_glcmmeanmean.,-0.40179991256649406,8.881344635552523e-33,0.40179991256649406,concentration
median_HistANG,-0.3961848371361582,7.75405783544715e-32,0.3961848371361582,concentration
texture_std_dissimilaritymean.,-0.37080617333430654,8.373290127934692e-28,0.37080617333430654,concentration
std_HistANG,-0.369790939230519,1.1938531819424253e-27,0.369790939230519,concentration
Alignment,0.3565607950569649,1.083576187665942e-25,0.3565607950569649,concentration
mean_HistANG,-0.3298993520568564,5.114390720856054e-22,0.3298993520568564,concentration
texture_std_contrastmean.,-0.3286060602048978,7.551888369716993e-22,0.3286060602048978,concentration
texture_std_glcmvariancemean.,-0.32017379733012774,9.159244901754451e-21,0.32017379733012774,concentration
HGU (microns),0.30520072125129516,6.357036016414772e-19,0.30520072125129516,concentration
std_HistWID,-0.30304414675093627,1.1477883255885999e-18,0.30304414675093627,concentration
Curvature_40.0,0.29935632361340814,3.1168480099510265e-18,0.29935632361340814,concentration
mean_HistWID,-0.2899560332091154,3.72916176035955e-17,0.2899560332091154,concentration
texture3d_std_inf2h,-0.2774046357858572,8.894775658125682e-16,0.2774046357858572,concentration
texture3d_std_homom,-0.27377048568185364,2.1628240738000443e-15,0.27377048568185364,concentration
Endpoints,0.26478507123528855,1.8386873331663743e-14,0.26478507123528855,concentration
texture_mean_glcmvariancemean.,-0.25617525003595704,1.326368072366389e-13,0.25617525003595704,concentration
texture3d_std_corrm,0.25397665388762747,2.1715280923818301e-13,0.25397665388762747,concentration
texture3d_std_senth,-0.2524247036652772,3.0666965530103405e-13,0.2524247036652772,concentration
texture3d_std_entro,-0.2493402025983559,6.047965860280697e-13,0.2493402025983559,concentration
texture3d_std_homop,-0.2408238757532086,3.761605578648179e-12,0.2408238757532086,concentration
texture_mean_glcmmeanmean.,-0.23819849329373272,6.516748102075925e-12,0.23819849329373272,concentration
texture3d_mean_inf1h,-0.2295787031004287,3.7826633878740423e-11,0.2295787031004287,concentration
texture_mean_contrastmean.,-0.2265653330853652,6.8816386482809e-11,0.2265653330853652,concentration
texture3d_std_maxpr,-0.22370069163327694,1.206062104704688e-10,0.22370069163327694,concentration
texture_median_glcmvariancemean.,-0.2231704419739739,1.3369455348985563e-10,0.2231704419739739,concentration
texture3d_std_inf1h,0.21699497338087165,4.3546357961606674e-10,0.21699497338087165,concentration
texture3d_std_energ,-0.21014052656549112,1.55049057548071e-09,0.21014052656549112,concentration
texture_median_contrastmean.,-0.20664863856520294,2.9129128906050382e-09,0.20664863856520294,concentration
texture3d_std_indnc,-0.1999299873942781,9.503348543235747e-09,0.1999299873942781,concentration
texture3d_median_corrp,0.19672236884115843,1.6477384189660123e-08,0.19672236884115843,concentration
texture3d_mean_corrp,0.1964187000162105,1.7350430633177908e-08,0.1964187000162105,concentration
median_HistWID,-0.19637348468550742,1.7484200852694033e-08,0.19637348468550742,concentration
texture3d_std_denth,-0.17560316765893705,4.926210202634397e-07,0.17560316765893705,concentration
texture3d_mean_sosvh,-0.17218241071050658,8.235942945607436e-07,0.17218241071050658,concentration
texture3d_median_sosvh,-0.16666763464799228,1.8466852845709987e-06,0.16666763464799228,concentration
texture3d_std_corrp,0.1665889234507857,1.867740866092879e-06,0.1665889234507857,concentration
texture_median_asmmean.,-0.1586933766945785,5.670786281087925e-06,0.1586933766945785,concentration
texture3d_median_contr,0.15631702792194374,7.840513589159151e-06,0.15631702792194374,concentration
texture_median_glcmmeanmean.,-0.151088820605062,1.572817266932324e-05,0.151088820605062,concentration
texture_mean_dissimilaritymean.,-0.15033224487166622,1.7362394035245016e-05,0.15033224487166622,concentration
texture_median_homogeneitymean.,-0.14761633198255322,2.4661644898323657e-05,0.14761633198255322,concentration
texture3d_mean_autoc,-0.14000530943377693,6.383267965535476e-05,0.14000530943377693,concentration
texture_mean_asmmean.,-0.13907413930036674,7.147512121782707e-05,0.13907413930036674,concentration
texture3d_mean_inf2h,-0.13298920113690157,0.00014706903271132106,0.13298920113690157,concentration
texture3d_median_autoc,-0.13200320105019775,0.00016484205552196824,0.13200320105019775,concentration
texture3d_median_savgh,-0.13088448096404115,0.00018744329458289294,0.13088448096404115,concentration
texture3d_mean_savgh,-0.12974950504774532,0.00021332092448854114,0.12974950504774532,concentration
texture3d_median_inf1h,0.12231972694559576,0.0004848060885771168,0.12231972694559576,concentration
texture3d_median_dissi,0.11987531175926505,0.0006290310779252023,0.11987531175926505,concentration
texture3d_mean_cprom,-0.11745676599487893,0.0008101145245868957,0.11745676599487893,concentration
texture3d_std_cprom,-0.1162152058169987,0.0009208043579818304,0.1162152058169987,concentration
texture_median_dissimilaritymean.,-0.11089330984618911,0.001572506842015424,0.11089330984618911,concentration
texture3d_std_idmnc,-0.11017553286835209,0.0016873276305472353,0.11017553286835209,concentration
median_HistLEN,0.1097002574016893,0.0017675396168342144,0.1097002574016893,concentration
texture3d_mean_dissi,0.0977017329562115,0.0053857716234648354,0.0977017329562115,concentration
texture3d_mean_dvarh,0.09438443935593774,0.007186358123294932,0.09438443935593774,concentration
texture3d_mean_contr,0.09438443935593774,0.007186358123294932,0.09438443935593774,concentration
texture3d_std_dissi,-0.09401585117812954,0.007416533108826348,0.09401585117812954,concentration
texture3d_mean_svarh,-0.09180432211128034,0.008941458817093332,0.09180432211128034,concentration
texture_median_correlationmean.,-0.0892888694592209,0.011010639390638156,0.0892888694592209,concentration
texture3d_median_svarh,-0.0786245513962658,0.025240419122524237,0.0786245513962658,concentration
texture_mean_homogeneitymean.,-0.07792083408050492,0.026581194239639713,0.07792083408050492,concentration
texture3d_median_inf2h,-0.07523079297396074,0.03228744219623656,0.07523079297396074,concentration
texture3d_mean_corrm,0.07296105982824373,0.037887580824819855,0.07296105982824373,concentration
texture3d_std_sosvh,-0.06872552901307936,0.05055304700285789,0.06872552901307936,concentration
std_HistLEN,-0.05647158871577173,0.10827186690581192,0.05647158871577173,concentration
texture3d_median_cshad,0.052458429207727086,0.13577397528709942,0.052458429207727086,concentration
texture3d_mean_cshad,0.051841603885759986,0.14044101282169452,0.051841603885759986,concentration
texture3d_std_cshad,0.05069057413751685,0.14947797840267635,0.05069057413751685,concentration
texture3d_std_autoc,-0.049940464863380864,0.15560135939763958,0.049940464863380864,concentration
texture3d_mean_energ,-0.043247679529495174,0.21887502517517662,0.043247679529495174,concentration
