image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistANG,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_autoc,type_dissi,roi_idmnc,texture3d_mean_autoc,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_cshad,neighbor3d_inf2h,bin_num3d_contr,short_image_name
appliedMASKiso_flu_1mgml_roi1_8bit.ome,1,67.73730588,62.71588235,0.914933529,3.880352941,69.444,44.395,0.91865,3.6728,17.0,47.14118627,36.03834439,0.046700007,0.7472079,1.0,2449,51.521,2041,57,35.807,13,1.1355,0.0154,0.0713,0.1884,131072,0.5718469023704529,1512.60546875,0.3811401128768921,16.861454010009766,18.80333137512207,1377.791748046875,0.7421145439147949,0.551433801651001,1552.3660888671875,0.42177337408065796,17.11932945251465,17.495370864868164,1465.5196533203125,0.7503404021263123,0.26371675729751587,928.6878662109375,0.16528278589248657,10.465581893920898,14.549532890319824,904.4402465820312,0.1783740371465683,1mgml,flu,roi1,2016.2652912939382,42802.95979309082,31383.634811401367,172.69453062162472,65476.02607727051,63944.92346954346,2673.2683789484513,1921.8295863771993,1360.9999259752758,63786.589584350586,3679.6496611199123,3684.3847748144794,3680.9321525139067,3684.5844817933844,33624.131271362305,2024.0474495848161,3576.458470811049,2931.553678844115,63986.38059234619,3418.9277929317595,759.2391701425806,397.0,38556.0,31102.0,15.0,65535.0,65470.0,755.0,480.0,92.0,65159.0,844.0,848.0,858.0,854.0,33640.0,93.0,787.0,628.0,65433.0,1028.0,43.0,3432.272552462471,3335.7510377773647,16475.447067025234,2246.47035671467,508.44851509071185,394.6176994440407,3897.8887913150575,4285.241641711351,3117.3771855810346,3610.3571120778506,5804.009187043601,5801.292851247612,5832.214024254285,5831.372848421713,182.28259788199134,5307.694377403147,5692.614263053625,4801.353347443768,3719.1297945431647,4657.848491971152,2100.5370382460255,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,2,74.95613077,63.34969231,0.927725385,4.282923077,73.009,39.402,0.93416,4.4899,13.0,59.75645637,57.00510807,0.035414414,0.837649535,2.0,2483,50.7882,2072,63,32.8889,10,1.1374,0.016,0.0773,0.2058,131072,0.5699909329414368,1495.1143798828125,0.39228662848472595,16.754499435424805,18.614742279052734,1409.7501220703125,0.7443506121635437,0.5369768738746643,1595.3951416015625,0.4192255735397339,17.798158645629883,17.933868408203125,1537.706298828125,0.7409482002258301,0.25109463930130005,883.594482421875,0.1823042929172516,9.934587478637695,13.21251106262207,887.542236328125,0.16449704766273499,1mgml,flu,roi1,2204.8236726108175,43542.451721191406,31361.397583007812,209.9116503259024,65466.19482421875,63775.160331726074,2981.6937856616078,2137.6173711653664,1424.5192433517018,63634.19902038574,4008.44454686189,4013.8653525720565,4019.038938325002,4021.561042767162,33625.037506103516,2447.840144230769,3844.72161756538,3203.0437952754046,63826.988372802734,3727.4239609553183,793.751201797471,476.0,38556.0,31102.0,16.0,65535.0,65470.0,857.0,557.0,104.0,65159.0,1000.0,1002.0,1002.0,1003.0,33640.0,96.5,949.0,745.0,65433.0,1225.0,46.5,3774.02435648903,3655.5805326120303,16645.2789354201,2279.3620900039255,826.2018799919737,552.5559696827324,4322.46017085546,4704.05033182622,3252.7815560108515,3990.435230048631,6328.683418301975,6326.188037438038,6370.84372379551,6368.360299299206,126.59287213995033,5825.510319419035,6090.125407969743,5261.406106319549,4111.506632788067,5003.236630837578,2499.257653248022,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,3,80.1425625,69.0845,0.9057725,3.673225,71.5825,49.742,0.91636,3.60335,16.0,58.08042262,49.00142506,0.046210994,0.647384291,3.0,2483,50.7882,2024,52,38.9231,6,1.1559,0.0114,0.0776,0.3025,131072,0.5617361068725586,1532.3458251953125,0.4177723526954651,17.06720542907715,19.59477996826172,1500.3358154296875,0.7384406328201294,0.536907970905304,1641.140380859375,0.4362594485282898,18.065832138061523,18.623865127563477,1560.380859375,0.7415887713432312,0.2540096640586853,892.9337768554688,0.16702398657798767,10.020849227905273,13.975598335266113,963.46923828125,0.16729578375816345,1mgml,flu,roi1,2375.0054521103225,43805.15690612793,31391.628288269043,225.82321389073215,65460.57524108887,63670.43671417236,3122.038942451566,2272.2058888585293,1576.0443912812334,63534.83600616455,4276.510281968923,4280.647260314563,4263.3111969752645,4269.743952305887,33625.854919433594,2048.324074074074,4193.06115845492,3423.35186260682,63725.19850921631,4014.1382584063244,779.1664531072889,576.0,38556.0,31102.0,13.0,65535.0,65470.0,1000.0,661.0,142.0,65159.0,1197.0,1198.0,1201.0,1199.0,33640.0,86.0,1112.0,898.0,65433.0,1474.0,37.0,4130.687484127814,4140.9844116966315,16784.812039497836,2273.1254132347085,816.7092929691875,566.0448191523511,4672.4658213427565,5137.515394310014,3609.6753468807833,4293.464699958636,6784.635754039249,6775.389770649997,6823.253840591375,6820.397792307932,122.10272885671392,5339.938659474593,6607.942337859963,5694.140742721361,4435.945698184724,5313.668092758095,2445.9253916769867,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,4,92.58478947,64.56905263,0.920207895,3.546994737,72.474,42.649,0.92731,3.3243,19.0,54.92307952,45.56400133,0.032068675,0.839712847,4.0,2550,49.4012,2116,54,39.1852,13,1.1654,0.0218,0.0881,0.2358,131072,0.5282473564147949,1602.6353759765625,0.4091888666152954,18.07465171813965,22.19732666015625,1532.651123046875,0.7080161571502686,0.5080805420875549,1671.5908203125,0.4460097849369049,18.619415283203125,18.92409896850586,1497.3056640625,0.7226189374923706,0.2811092734336853,953.1524658203125,0.1567012369632721,10.90353775024414,17.19061279296875,1000.5930786132812,0.1983109563589096,1mgml,flu,roi1,2527.118914778314,44679.761711120605,31450.571380615234,265.26359674057227,65434.85095977783,63380.517753601074,3328.888853044816,2377.487393915331,1806.3155788133795,63255.08325958252,4646.033818855327,4653.719708229483,4632.212539729723,4639.538597855167,33624.865234375,1967.2788171394086,4470.081174399195,3680.2958292365033,63448.39489746094,4083.6112203599114,1015.1696075663467,600.0,45777.0,31102.0,12.0,65535.0,65470.0,1061.0,700.0,152.0,65159.0,1252.0,1254.0,1256.0,1257.0,33640.0,86.0,1139.0,936.0,65433.0,1532.0,58.0,4442.748915020342,4296.106731829464,16804.60084074454,2280.125050344823,820.0147026322488,669.4911981820231,5332.825265246542,5505.869205153496,4148.437785945909,4924.611775253544,7424.394039429716,7421.23794465111,7465.004630374496,7463.313737376784,109.10073955155859,5083.658444581287,7091.752469615256,6173.6991203677635,5051.065633069159,5256.5775944177185,3014.7814675230225,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,5,97.94117647,67.14570588,0.936208235,3.885782353,83.418,60.63,0.93766,3.9044,17.0,60.95673614,26.00164229,0.024448993,0.826736693,5.0,2505,50.3245,2087,61,34.2131,7,1.1635,0.0202,0.0816,0.2097,131072,0.5389952063560486,1530.9210205078125,0.40511226654052734,17.346834182739258,22.47087287902832,1508.930908203125,0.7123817801475525,0.5623049736022949,1518.7535400390625,0.4587175250053406,16.821779251098633,16.40779685974121,1361.020263671875,0.7576504349708557,0.290166974067688,907.0133056640625,0.164667546749115,10.547401428222656,19.00752830505371,1046.2073974609375,0.20865559577941895,1mgml,flu,roi1,2528.815282123751,45210.33920288086,31453.806442260742,370.66040720518447,65412.15043640137,63345.54766082764,3316.527886449215,2383.879627365641,1937.9295521480028,63221.182929992676,4606.169386404675,4612.810179110169,4590.443513565044,4597.903087603602,33623.00979614258,1975.5134281200633,4514.778159101869,3665.339322364658,63413.81388092041,3999.476083128652,1229.2282160642378,570.0,47875.5,31102.0,13.0,65535.0,65470.0,1020.0,661.0,128.0,65159.0,1165.0,1172.0,1186.0,1183.0,33638.0,86.0,1085.0,887.0,65433.0,1463.0,42.0,4630.5433075966,4413.591189531223,16770.095287233587,2346.866664568228,1105.770558197833,825.9256877108244,5628.7012061391315,5633.69178218184,4824.878952739807,5247.98831376287,7718.138654103096,7714.526818168667,7728.803063131497,7732.1821595469155,178.8829722127389,5204.465907467789,7542.900549878655,6412.943588836744,5358.102667751959,5239.751505639408,3648.7247811247003,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,6,80.59838889,57.62216667,0.91254,3.577977778,67.4595,46.836,0.919615,3.2604,18.0,57.46448654,30.64712575,0.029521195,0.909213493,6.0,2110,60.1199,1797,52,34.5577,11,1.1255,0.0121,0.0701,0.1364,131072,0.5690051913261414,1490.4923095703125,0.38614362478256226,16.691617965698242,20.58197784423828,1473.8897705078125,0.735591471195221,0.5979028344154358,1436.6845703125,0.4055060148239136,15.67497444152832,14.473482131958008,1222.6982421875,0.7801027297973633,0.27888837456703186,899.7149658203125,0.17397251725196838,10.378243446350098,18.257848739624023,1102.841064453125,0.1966414600610733,1mgml,flu,roi1,2458.2298709550205,45538.9769821167,31423.926887512207,450.2222528837132,65405.88033294678,63416.96736907959,3195.5473547557226,2328.3841023320074,1734.2518294901686,63309.01443481445,4398.1723046250245,4402.207534561707,4388.679633240585,4394.613664745963,33622.46464538574,2182.765547605944,4295.272528098503,3531.0977367832966,63495.186531066895,3935.1921652827377,1113.4088645299655,536.0,49777.0,31102.0,13.0,65535.0,65470.0,939.0,609.0,109.0,65159.0,1105.5,1111.0,1119.0,1118.0,33637.0,86.0,1031.0,836.5,65433.0,1382.0,28.0,4724.612624313375,4575.723458511797,16533.664654822234,2393.2119835406475,1458.713219614302,962.9077740138323,5606.590912665468,5715.525547671395,4360.577751722107,5151.082168811441,7628.979132355748,7619.006511658345,7667.442282361235,7665.41702618526,135.45475487083013,5711.251536523457,7321.8468381324765,6442.780808530198,5287.429331318684,5338.157061694335,3532.599817820178,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,7,87.64923529,55.87447059,0.924927647,3.987570588,84.289,52.146,0.9272,4.0259,17.0,54.78716433,25.42836708,0.043245273,0.762292419,7.0,2059,61.6586,1787,57,31.3509,12,1.1191,0.0091,0.0669,0.03719,131072,0.6100049018859863,1378.8990478515625,0.3755158483982086,15.34386920928955,17.82114601135254,1338.1962890625,0.7657042741775513,0.6390222311019897,1310.72119140625,0.3859907388687134,14.264581680297852,12.390229225158691,1068.370849609375,0.804791271686554,0.26356783509254456,883.1058959960938,0.17341643571853638,10.144449234008789,16.617778778076172,1060.9591064453125,0.18286901712417603,1mgml,flu,roi1,2478.5951121786243,46036.86316680908,31380.47183227539,369.73465937904996,65424.67824554443,63393.21586608887,3191.60873473581,2326.8991687875036,1629.8924967204812,63288.335220336914,4431.0005493144345,4434.96294820288,4415.955333196902,4422.80384089269,33621.63562774658,2616.987635239567,4362.371368870028,3557.3563435046262,63469.73504638672,4066.6071217000745,932.1373326948948,588.0,50700.0,31102.0,11.0,65535.0,65470.0,979.0,648.0,108.0,65159.0,1209.0,1216.0,1217.0,1218.0,33632.0,96.0,1139.0,916.0,65433.0,1510.0,24.0,4717.173317136557,4494.585430173243,16421.180946585515,2351.722480931662,1195.8516922348156,834.7939093610671,5597.567600240576,5649.178967048943,4096.545196976447,5147.734896242182,7607.661156053059,7596.451186389186,7639.085435184653,7638.205368491166,131.92701428546928,6146.588202953229,7353.909597476227,6429.120977584012,5293.544399931525,5474.539980419756,3080.8466221851095,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,8,88.548925,57.924375,0.9295575,3.901325,89.2045,47.264,0.940735,3.83385,16.0,59.37067554,33.8215855,0.041987953,1.064372918,8.0,2474,50.9802,2091,66,31.6818,11,1.1483,0.0105,0.0782,0.0408,131072,0.6239448189735413,1275.6195068359375,0.3652220368385315,14.378748893737793,16.48626708984375,1219.7120361328125,0.7770063281059265,0.6631903052330017,1163.030517578125,0.3622616231441498,12.92228889465332,11.861687660217285,1023.6016235351562,0.8201189637184143,0.2522353529930115,809.7385864257812,0.1877683848142624,9.36075210571289,15.461206436157227,949.3736572265625,0.17375388741493225,1mgml,flu,roi1,2601.078696434328,47579.66470336914,31454.56273651123,342.82703777335985,65416.8656539917,63140.5055770874,3425.032879223058,2482.4892544619406,1762.9577750710516,63055.884437561035,4718.15478282571,4723.325277901983,4720.746898624268,4725.157268085726,33620.96960449219,1898.5895330938943,4555.61191469007,3768.653644181476,63227.623710632324,4192.453960298231,1043.2678153584343,657.0,51807.0,31102.0,10.0,65535.0,65453.0,1081.0,700.0,118.0,65159.0,1365.0,1371.0,1367.0,1368.0,33627.0,79.0,1248.0,1024.0,65433.0,1677.0,28.0,4808.357392921258,4657.324237238072,16533.678098346725,2460.2940767658224,1126.0538403516534,845.6104698869259,6036.084354129678,5917.654212068345,4515.109067920045,5595.4856577401815,7964.740010230346,7957.040962858417,8016.312873248583,8012.977709564097,121.28486653949754,5060.701583678787,7666.67687937478,6653.920174090743,5738.85062810028,5430.653665928248,3361.2349430718496,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,9,73.32339286,70.95042857,0.929759286,4.046571429,66.0435,47.372,0.938975,4.2574,14.0,47.84724966,54.15801528,0.02700396,0.946856368,9.0,2658,47.3126,2226,56,39.75,10,1.1601,0.0149,0.0793,0.04085,131072,0.6312187910079956,1237.208984375,0.39179471135139465,13.909839630126953,16.183765411376953,1232.6844482421875,0.7835348844528198,0.6623696088790894,1163.967529296875,0.40546712279319763,12.940683364868164,12.095304489135742,1052.145751953125,0.8194568753242493,0.24244610965251923,762.6889038085938,0.18925169110298157,8.792194366455078,14.6419677734375,930.8192749023438,0.16459444165229797,1mgml,flu,roi1,2756.948907283408,47435.821044921875,31332.5972366333,355.8060016298356,65402.5640335083,62967.91091918945,3588.9886088408666,2604.9579522456065,1888.3425448174903,62890.27997589111,4968.741619767489,4973.93986977776,4963.495583946104,4969.398574538882,33618.818115234375,2436.508016032064,4828.5562276629835,3978.6247175779486,63058.74733734131,4391.191810787495,1105.1798988343962,747.0,51824.0,31102.0,11.0,65535.0,65429.0,1183.0,778.0,142.0,65159.0,1548.0,1557.0,1557.0,1558.0,33624.0,86.0,1438.0,1163.0,65413.0,1893.0,27.0,4987.379678644643,4770.990917846641,16276.140872463908,2292.1251822412423,1039.1857575886802,856.1720483314353,6318.359479767129,6058.958552664442,4821.125737579485,5886.75679790987,8232.076064468047,8224.23033418617,8263.992049398554,8263.895548843171,152.43520156403048,6272.802375311636,7982.284492688245,6884.56365076441,6022.284050806252,5515.210171297563,3509.9502332095735,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,10,91.24486667,63.36125,0.925514167,3.547808333,84.1705,42.8295,0.92488,3.48125,12.0,45.75026895,40.71912419,0.033719831,0.829800719,10.0,2016,63.0164,1666,48,34.7083,7,1.0931,0.0109,0.0577,0.01451,131072,0.7040688395500183,1026.97705078125,0.44815659523010254,11.05026626586914,13.254364013671875,1135.5418701171875,0.8325242400169373,0.7612850666046143,857.5264282226562,0.5206640958786011,9.043606758117676,9.131647109985352,887.4544067382812,0.8762873411178589,0.21720363199710846,724.3016357421875,0.19010837376117706,7.955015659332275,12.406903266906738,913.5037841796875,0.13884331285953522,1mgml,flu,roi1,2688.008875188779,46721.3634185791,31364.948486328125,260.8791140747797,65430.8678817749,63142.97117614746,3115.3855025262947,2288.4189076145753,1940.1884276636981,62991.90278625488,4787.927219314397,4793.183524008524,4678.263835157333,4700.883546765418,33622.50351715088,2461.4387025838373,5001.6429236402755,3813.4555102716345,63196.9527053833,4430.102561185014,885.7091982784506,764.0,51713.0,31102.0,8.0,65535.0,65435.0,1061.0,700.0,172.5,65159.0,1568.0,1574.0,1532.0,1541.0,33627.0,87.0,1573.0,1166.0,65416.0,1926.0,29.0,4849.632104517746,4240.983228834475,15862.522628140594,2362.5804026525643,820.5531253614473,707.7207016190481,5913.569140482905,5315.8969991164395,5010.6175316922445,5637.173434076814,7937.5591744286785,7931.935627901896,7795.4663708530425,7823.3709640387215,113.33659229981089,5994.392238677199,8179.672918430388,6593.086745348769,5697.86815641398,5677.713695495368,3018.8659458494635,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
