image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistANG,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_autoc,type_dissi,roi_idmnc,texture3d_mean_autoc,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_cshad,neighbor3d_inf2h,bin_num3d_contr,short_image_name
appliedMASKiso_shg_1mgml_roi1_8bit.ome,1,77.56147059,57.35164706,0.928797059,3.853052941,73.811,53.993,0.93895,3.7951,17.0,45.06159014,22.79568618,0.031634956,0.6860879,1.0,1835,69.4294,1565,26,60.1923,10,1.1033,0.021,0.0071,0.2031,131072,0.5712404847145081,278.93121337890625,0.35822567343711853,7.517390727996826,7.564780235290527,242.99171447753906,0.7403808236122131,0.5509593486785889,279.6763000488281,0.40046608448028564,7.398016929626465,6.875381946563721,242.169677734375,0.7495817542076111,0.2641492784023285,179.22633361816406,0.1517079621553421,4.8865509033203125,5.912891387939453,168.1574249267578,0.1796254962682724,1mgml,shg,roi1,1696.7290984241183,41952.37990570068,30471.430725097656,177.99325792611577,65472.66441345215,63865.13624572754,2038.8549058945543,1088.4583538772804,1686.9281206777316,63456.17925262451,4088.648696294355,4098.444474884757,3689.7845342036617,3761.5770133288866,57817.64655303955,2519.3119113573407,4370.208092623254,3052.8340619155956,63726.79919433594,1470.6724834133383,869.7869076590741,362.0,37042.0,30146.0,15.0,65535.0,65475.0,733.0,370.0,120.0,65185.0,990.0,994.0,860.0,881.0,57823.0,138.0,1163.0,682.0,65433.0,625.0,48.0,2804.8700199785326,1676.5361949487055,17547.29432753725,2746.1371997848714,542.0404123947704,418.02599811369873,4054.086260806063,3063.6709637085596,3832.6397300409108,4361.114389638136,6382.877751582565,6396.469537629512,5847.279947318411,5943.378183430369,60.64816155490455,5563.880762546086,6672.547678272633,4926.890581484102,4282.063092734678,1715.9260766028726,2378.507995190546,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,2,65.43718,56.57813333,0.912439333,4.164966667,56.889,41.171,0.92234,4.2963,15.0,49.09853654,35.38051191,0.045654978,0.744067029,2.0,1819,70.0577,1528,34,44.9412,11,1.1172,0.0264,0.0078,0.2154,131072,0.5693814158439636,272.89202880859375,0.36722156405448914,7.419185638427734,7.442600727081299,243.0628204345703,0.7425922155380249,0.5364512205123901,278.81951904296875,0.4072006642818451,7.600028038024902,6.951449871063232,243.89120483398438,0.7399997711181641,0.25150245428085327,167.03109741210938,0.1629301905632019,4.559398651123047,5.380958080291748,162.2222900390625,0.16575893759727478,1mgml,shg,roi1,1858.180628921899,42743.37267303467,30443.628662109375,225.32448,65460.61100769043,63688.3547668457,2230.666867712103,1183.309392172631,1811.1795186745696,63267.7155380249,4457.0390564989775,4468.356530884768,4028.8093735597545,4106.090544900202,57816.74668121338,2317.9798255179935,4732.628378298531,3338.184575932688,63541.08224487305,1589.9060635066946,915.4499921081707,430.0,37042.0,30146.0,15.0,65535.0,65475.0,835.0,431.0,138.0,65185.0,1138.0,1142.0,1003.0,1029.0,57823.0,138.0,1302.0,806.0,65433.0,740.0,55.0,3101.033164312565,1866.0318812738126,17752.384704739125,2825.7296516170345,904.4125133105632,600.1388437403779,4484.088649686187,3427.1155166517556,4039.2522728112845,4808.377294202903,6937.240746669253,6952.626687640331,6386.680260130003,6486.114089950516,52.86455373583997,5391.750858152376,7125.760683686244,5413.918310269801,4728.64046298397,1825.6204808920188,2820.2124219591637,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,3,85.41502667,64.0744,0.925656,3.697413333,72.979,54.229,0.93036,3.5555,15.0,57.06552519,42.26531882,0.028040476,0.84301276,3.0,1973,64.4333,1630,36,45.2778,7,1.1328,0.0139,0.0085,0.2763,131072,0.5612151622772217,285.431884765625,0.3884746730327606,7.629732131958008,7.846242427825928,258.0496520996094,0.7367360591888428,0.5364053845405579,289.6483154296875,0.4099445044994354,7.747772216796875,7.165217399597168,253.3588409423828,0.7400957345962524,0.2543448507785797,174.5294189453125,0.14744338393211365,4.665472507476807,5.656328201293945,170.1190948486328,0.16834165155887604,1mgml,shg,roi1,1995.467719951168,43006.00444793701,30481.059280395508,234.15874458642998,65455.78330230713,63587.43157196045,2434.4512908380975,1302.3942863732968,1848.163430961128,63174.06702423096,4695.543682070854,4706.312405921466,4272.560903628024,4349.28358085124,57815.78031158447,2336.404301075269,4905.894015716301,3562.3914378163113,63441.204093933105,1702.938414858186,901.6626776925575,519.0,37042.0,30146.0,13.0,65535.0,65475.0,916.0,472.0,175.0,65185.0,1347.0,1350.0,1203.0,1230.0,57823.0,138.0,1465.0,965.0,65433.0,881.0,43.0,3383.4387768478205,2115.725076002987,17899.754548172717,2727.6972350745145,866.6430002690719,600.7210646141235,4832.441858515764,3850.951262811871,4147.488885157014,5129.94844425328,7351.616602279309,7365.84508818556,6839.792447812879,6933.4532297341,86.37025056899036,5564.927706394833,7307.098696049604,5853.656318458724,5068.167052675825,1889.3229389086719,2828.523406689412,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,4,84.4317619,62.78057143,0.920319524,3.334738095,70.641,42.649,0.92973,3.2341,21.0,53.13563715,40.46656798,0.042736944,0.712637397,4.0,2123,59.7395,1712,29,59.0345,12,1.1437,0.0168,0.0099,0.2533,131072,0.5276640057563782,307.93377685546875,0.3888852596282959,8.297073364257812,9.052070617675781,277.92852783203125,0.7063153982162476,0.5073592066764832,310.1492614746094,0.4258984625339508,8.28717041015625,7.645534515380859,264.664794921875,0.720564067363739,0.2814992368221283,193.56251525878906,0.14424653351306915,5.252338409423828,7.0278639793396,185.54348754882812,0.19905930757522583,1mgml,shg,roi1,2166.836450735143,43955.24335479736,30561.22999572754,275.1940693430657,65427.24961090088,63296.31258392334,2642.7055843971407,1403.0577375222886,2181.0431961541667,62859.043853759766,5093.619269201747,5106.107436032286,4641.416630462122,4723.674685020465,57815.554191589355,2122.636559139785,5311.529965929619,3869.5325840898176,63132.30389404297,1763.6091624173964,1187.7753561253562,541.0,47334.5,30146.0,13.0,65535.0,65475.0,998.0,524.0,189.0,65185.0,1425.0,1430.0,1259.0,1289.0,57818.0,138.0,1558.0,1011.0,65433.0,915.0,65.0,3680.045796397632,2229.3302640945217,17885.83527168028,2809.5375693077976,839.6709225285878,701.8550784644812,5488.548536279529,4098.665350126188,5080.494875000491,5849.56207968668,8050.812179357305,8067.70273397906,7481.555646523865,7586.150271686728,61.92761614002506,5102.581183430808,8033.515114821238,6385.270794285944,5765.363263248472,1914.2967937302265,3578.8805554079354,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,5,96.94535294,61.07770588,0.931061176,3.933464706,84.943,53.234,0.94012,3.7398,17.0,61.09637033,26.61193174,0.03716963,0.855000476,5.0,1940,65.5634,1630,27,60.3704,7,1.1025,0.0225,0.01,0.2186,131072,0.5385096669197083,298.7470397949219,0.3946996331214905,8.10673999786377,9.271995544433594,283.89801025390625,0.7104666233062744,0.5617664456367493,282.5926513671875,0.44817861914634705,7.484583377838135,6.825237274169922,254.88087463378906,0.7557056546211243,0.29044923186302185,191.66587829589844,0.15381963551044464,5.302293300628662,7.848381996154785,202.8706817626953,0.20945954322814941,1mgml,shg,roi1,2167.32963224656,44557.88928985596,30552.257362365723,389.3096190899659,65401.90899658203,63269.01428985596,2728.0770030410226,1457.1897536150934,2144.8352342682415,62847.985931396484,5018.4190976077525,5029.880331527652,4598.87008063883,4675.616242163229,57813.98695373535,2472.2774225282833,5153.736505052544,3851.809764139834,63113.38319396973,1739.0355865100994,1381.1269408814737,511.0,50146.0,30146.0,14.0,65535.0,65475.0,937.0,493.0,149.0,65185.0,1341.0,1343.0,1189.0,1214.0,57813.0,138.0,1488.0,954.0,65433.0,877.0,49.0,3845.6458330963096,2388.068310475502,17847.557420845278,2898.1819245597953,1117.894757404664,860.3017672012841,5768.756765115714,4366.060250451869,5329.414100008425,6107.334483172656,8292.772023335692,8308.74703553744,7743.8651718472565,7845.441159807581,93.3970795205808,5864.954079522773,8128.938152001174,6640.426664294684,6032.660374531327,1926.7500341363525,4120.7767964170425,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,6,95.73346667,62.25933333,0.902843333,3.365026667,83.66,55.286,0.91149,3.329,15.0,62.46332999,36.33842267,0.032163602,0.543705642,6.0,1495,85.6742,1254,31,40.4516,9,1.1196,0.0174,0.009,0.2422,131072,0.568518340587616,286.1650390625,0.37833425402641296,7.670465469360352,8.507622718811035,278.6684875488281,0.7336346507072449,0.5975121855735779,260.14556884765625,0.3979262113571167,6.868701934814453,5.917548656463623,220.04409790039062,0.7781043648719788,0.2791861891746521,188.05923461914062,0.16897577047348022,5.150852203369141,7.621565341949463,220.5135498046875,0.1978456676006317,1mgml,shg,roi1,2094.5569747825516,44809.8604888916,30506.55581665039,454.3082473675771,65398.394592285156,63340.45846557617,2675.5300277318947,1440.3163102941398,1899.978651165863,62941.33254241943,4780.748712836579,4790.520397432246,4396.812545187652,4467.239193304559,57814.51559448242,2433.0029776674937,4872.48633963587,3699.9048704072916,63197.94121551514,1708.5813925465022,1257.4171962256885,477.5,50817.0,30146.0,14.0,65535.0,65475.0,835.0,431.0,133.0,65185.0,1277.0,1282.0,1123.0,1149.0,57813.0,138.0,1442.0,900.0,65433.0,824.0,33.0,3895.7714603687414,2520.108165684529,17541.670365584785,2909.442220134325,1381.0465520335736,961.6670953729525,5743.324483234392,4554.313583493117,4861.910240203621,6008.199529731778,8162.370127585164,8174.015715528318,7682.371186742931,7772.05979569167,64.04896103866503,5729.531518659811,7857.3333850643,6649.043302864723,5965.951413684768,1938.022015065994,4083.255162025283,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,7,94.09183333,62.76266667,0.93233,3.964175,89.002,64.0495,0.93323,3.9241,12.0,58.16287937,25.09786303,0.021941403,0.535714486,7.0,1476,86.8028,1306,29,45.0345,5,1.1035,0.0079,0.0084,0.09573,131072,0.6095576882362366,260.49896240234375,0.36295631527900696,6.946252346038818,7.2927045822143555,244.3553466796875,0.7641780972480774,0.6385465860366821,237.32208251953125,0.3790836036205292,6.192814826965332,5.021883010864258,188.39089965820312,0.8034883737564087,0.26390817761421204,180.58566284179688,0.1626051813364029,4.9193806648254395,6.848174571990967,201.7535858154297,0.18350857496261597,1mgml,shg,roi1,2098.104348200726,45396.72538757324,30472.7251663208,362.09145118447447,65420.42189788818,63312.54480743408,2606.2212015780356,1393.8086122312318,1804.5066850377627,62910.08620452881,4815.786876770462,4826.505390821064,4424.344678651056,4496.154389668581,57814.55019378662,2070.3516427104723,4913.652187025408,3716.0865224087975,63166.950340270996,1744.2558405049385,1064.4896801891773,524.0,51199.0,30146.0,12.0,65535.0,65460.0,815.0,421.0,143.0,65176.0,1390.0,1395.0,1220.0,1249.0,57813.0,138.0,1581.0,980.0,65418.5,895.0,27.0,3854.435709507196,2419.612826356255,17478.280545260433,2874.598626691599,1122.6081559289107,828.1392269952219,5744.042519060606,4429.456808331332,4656.760500397687,6025.883582227249,8145.078099657978,8159.36884410344,7654.787701412173,7746.583972398291,44.15269606233624,5033.379572616721,7837.069571719609,6607.468033708943,5979.573229645718,1916.5601420088983,3604.5001902257986,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,8,83.17859474,55.59521053,0.915994211,3.755468421,71.878,42.097,0.92896,3.7285,19.0,56.5358038,40.13620696,0.047787066,0.968088099,8.0,1613,79.2604,1387,20,69.35,10,1.0839,0.0126,0.0089,0.1363,131072,0.6234561204910278,248.2901153564453,0.35376355051994324,6.607527256011963,6.873944282531738,230.33905029296875,0.7749208807945251,0.6627309918403625,214.8361358642578,0.35609644651412964,5.689156532287598,4.932843208312988,187.54237365722656,0.8181595802307129,0.2525763213634491,175.10926818847656,0.1772080957889557,4.681913375854492,6.5559892654418945,190.47242736816406,0.17500832676887512,1mgml,shg,roi1,2230.8925930932646,47003.53691864014,30549.37100982666,361.0729862906767,65406.12170410156,63046.739418029785,2694.8181981335247,1439.901540670385,2057.8633591580888,62612.23287963867,5161.38590160866,5173.145694468996,4730.337059490262,4809.193496729647,57812.60629272461,2213.6914514692785,5317.344733640438,3962.6695124107023,62878.64227294922,1808.1906267222644,1195.0932288872198,587.0,51280.0,30146.0,11.0,65535.0,65428.0,876.0,452.0,155.0,65144.0,1555.0,1561.0,1371.0,1404.0,57813.0,138.0,1767.0,1099.0,65384.0,994.0,32.0,4003.8874245780426,2471.2184722716365,17564.111065721976,3008.3778254736753,1176.173841297516,902.3004330299559,6199.728669806014,4506.658940720959,5317.385309803316,6568.659755415764,8591.525800688052,8607.343598456482,8033.534584534642,8136.994856122548,76.47946495396516,5226.710278240948,8446.855574637852,6897.49581228594,6488.284027756413,1921.137875416272,3874.276876372934,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,9,81.2867,65.70715385,0.934031538,4.107946154,75.174,42.699,0.93546,4.3061,13.0,50.87807253,43.74352806,0.023443191,0.963227172,9.0,1758,72.558,1512,22,68.7273,4,1.0642,0.0133,0.0101,0.09373,131072,0.6308433413505554,239.1765899658203,0.38038456439971924,6.362410545349121,6.7352705001831055,234.5845489501953,0.7819511294364929,0.661963164806366,219.2923583984375,0.3926965296268463,5.736888408660889,5.04110860824585,193.4105682373047,0.8175048828125,0.24268826842308044,159.23191833496094,0.18191318213939667,4.322021961212158,6.18720817565918,189.12548828125,0.16524022817611694,1mgml,shg,roi1,2361.9980281805856,46873.06636810303,30432.305786132812,383.6383461431614,65390.10793304443,62874.13607788086,2854.8941173287153,1541.0479218530145,2159.8819541399466,62439.66721343994,5415.768650125293,5427.060448588917,4972.856426898903,5053.9438544961595,57813.0563659668,2450.5582075012176,5547.7535225732245,4178.548432814361,62703.33532714844,1889.7751098878528,1245.4635792272672,663.0,51277.0,30146.0,13.0,65535.0,65398.0,957.0,493.0,182.0,65112.0,1778.0,1779.0,1560.0,1599.0,57812.0,138.0,2000.0,1245.0,65351.0,1103.0,31.0,4156.437463737964,2607.8485450064463,17246.838159781695,2839.349072609535,1194.4262948066007,955.1883767367741,6470.859048400877,4689.147972231093,5546.174352265764,6835.506321874435,8837.78030009007,8852.120430648325,8280.066205422,8383.619287529398,64.10916754667151,5921.906192675104,8658.956709196098,7129.054285808809,6760.644341055644,1950.6537350955575,3930.4893347204415,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,10,87.98836,65.71486667,0.931970667,3.508826667,78.341,45.727,0.93872,3.4177,15.0,52.44384181,49.32147227,0.033686693,0.7336733,10.0,1545,82.8369,1307,26,50.2692,4,1.048,0.013,0.01,0.0486,131072,0.703880250453949,199.72039794921875,0.4374825358390808,5.085313320159912,5.537242889404297,216.2913055419922,0.8314638733863831,0.7611960768699646,158.94674682617188,0.5016046762466431,3.997957229614258,3.8058905601501465,165.266845703125,0.8755391836166382,0.21737001836299896,154.13864135742188,0.18403171002864838,3.9303762912750244,5.280071258544922,186.513427734375,0.13956105709075928,1mgml,shg,roi1,2270.351273351677,46047.96299743652,30455.701683044434,278.3948448379213,65422.371002197266,63089.116439819336,2829.5744091455754,1534.2673405132225,1830.0355437922242,62702.742179870605,5051.405910586093,5060.702691519954,4683.049589341498,4751.2989738709475,57813.47238922119,2690.2886904761904,5023.5359145168295,3973.9877940294186,62946.28170013428,1870.974895007965,945.7902660636435,663.0,51264.0,30146.0,9.0,65535.0,65411.0,978.0,503.0,184.0,65128.0,1738.0,1744.0,1534.5,1568.0,57813.0,138.0,1907.0,1234.0,65366.0,1105.0,32.0,4002.3855649038483,2626.4033697809364,16808.953808398142,2831.3003214176038,964.7513809743806,797.7833153420212,5989.741622633562,4651.571552911461,4695.931121766657,6250.116770219287,8252.30335220926,8261.573491121033,7803.0929922442765,7887.526988776232,65.98263691766029,5946.346582695863,7854.122529569798,6788.307169493678,6221.556054401985,1966.8234306014715,3142.1352661394603,D1,N8,t,appliedMASKiso_1mgml_roi1_8bit.ome
