image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,fibercount,fibercount,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth,z_depth,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,timepoint,position
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s1,1,110.8221292,51.17371171,0.900597838,3.45457027,126.87,44.838,0.91296,3.4126,111.0,111.0,53.89150687,21.67588049,0.050892351,0.671859113,2.0,2.0,12379,19.1766,9995,503,19.8708,74,1.398,0.0259,0.2038,0.1059,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s10,10,105.0077379,49.44683432,0.905229527,3.827715976,120.96,43.874,0.91327,3.6591,169.0,169.0,55.11753676,19.8997161,0.050149905,0.938574828,20.0,20.0,13434,17.5135,10789,506,21.3221,86,1.4186,0.0247,0.2703,0.1135,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s11,11,103.5089976,47.43384553,0.887395447,3.748909756,116.57,44.16,0.91019,3.3599,123.0,123.0,54.23957127,16.24466475,0.075221036,1.171886988,22.0,22.0,11334,21.1291,9172,542,16.9225,47,1.3794,0.0233,0.2116,0.1149,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s12,12,95.36924375,49.000375,0.894619,4.0928125,111.52,43.2395,0.910525,3.8268,80.0,80.0,59.38671984,20.01750409,0.076727674,1.407087228,24.0,24.0,9209,26.4662,7473,463,16.1404,41,1.3386,0.0216,0.1668,0.1485,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s13,13,95.60506404,51.18062281,0.888758596,4.162864912,108.45,44.1745,0.90473,3.87945,114.0,114.0,60.61213266,20.49376923,0.073127992,1.259896445,26.0,26.0,11277,21.246,9159,481,19.0416,54,1.3852,0.0257,0.2251,0.1153,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s14,14,106.4829595,53.6427973,0.893411351,4.000385135,118.74,44.293,0.906755,3.71995,148.0,148.0,55.28734476,26.3955215,0.055312124,1.155498033,28.0,28.0,12064,19.7295,9888,521,18.9789,62,1.3999,0.0227,0.2782,0.1213,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s15,15,89.34709424,49.28980576,0.890992878,4.027930935,92.246,42.286,0.90505,3.804,139.0,139.0,58.11167702,19.08989347,0.061713429,1.218119739,30.0,30.0,11039,21.7472,9069,515,17.6097,42,1.3755,0.0277,0.2535,0.07784,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s16,16,88.1258157,50.9067686,0.89329843,4.067759504,90.0,43.4,0.91339,3.7925,121.0,121.0,57.68559292,20.91326648,0.067329416,1.23394521,32.0,32.0,10108,23.9344,8257,463,17.8337,42,1.3602,0.0238,0.2207,0.05859,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s17,17,94.73886068,51.43137607,0.892214274,4.124359829,95.711,45.009,0.90993,4.0673,117.0,117.0,59.86222233,20.75336879,0.070355326,1.225553062,34.0,34.0,10551,22.8455,8590,494,17.3887,49,1.3725,0.0228,0.2355,0.05403,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s18,18,92.4147404,51.02880795,0.899608344,4.285684106,91.081,42.918,0.92017,3.955,151.0,151.0,59.11882051,22.94202281,0.061843485,1.278278691,36.0,36.0,11133,21.5467,9262,549,16.8707,57,1.3835,0.0259,0.2653,0.06328,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s19,19,95.68155271,50.247,0.896268372,4.122482946,97.595,41.654,0.90659,4.0554,129.0,129.0,55.99743214,24.82081124,0.058324111,1.06051954,38.0,38.0,10252,23.5701,8457,437,19.3524,60,1.3614,0.0249,0.2167,0.05394,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s2,2,98.90455242,47.16601613,0.902645726,3.551027419,112.17,42.0185,0.911355,3.48115,124.0,124.0,55.25853933,19.65497919,0.052471177,0.773244998,4.0,4.0,12731,18.5911,10324,533,19.3696,74,1.4072,0.0291,0.2241,0.09749,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s20,20,91.28734444,53.69092063,0.856338413,3.953222222,101.69,45.939,0.88549,3.806,63.0,63.0,58.6955172,22.2619922,0.109732733,1.159572896,40.0,40.0,10036,24.1205,8190,413,19.8305,49,1.3618,0.026,0.1982,0.03014,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s21,21,98.63658246,47.80445614,0.886676316,3.339715789,105.71,41.756,0.89986,3.0629,57.0,57.0,53.38201391,17.18161193,0.076329851,0.844194228,42.0,42.0,14509,16.0677,11908,653,18.2358,69,1.4442,0.0266,0.3417,0.02853,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s22,22,113.8022697,43.85090909,0.872598485,2.680312121,125.71,39.028,0.88041,2.6285,33.0,33.0,52.46266606,14.02795713,0.064978272,0.412323506,44.0,44.0,15252,15.1876,12477,782,15.9552,67,1.4615,0.0319,0.3748,0.01268,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s23,23,93.19575,41.21908333,0.911496667,2.4417125,95.52,38.0835,0.908615,2.3784,24.0,24.0,68.04584062,9.722351061,0.044172605,0.232502655,46.0,46.0,16963,13.4539,13970,811,17.2256,106,1.4871,0.0299,0.4189,0.03909,262144,10,5
