image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistANG,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration,type,roi,texture3d_mean_autoc,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d,neighbor3d,bin_num3d
appliedMASKiso_flu_1mgml_roi1_8bit.ome,1,67.73730588,62.71588235,0.914933529,3.880352941,69.444,44.395,0.91865,3.6728,17,47.14118627,36.03834439,0.046700007,0.7472079,1,2449,51.521,2041,57,35.807,13,1.1355,0.0154,0.0713,0.1884,131072,0.571846902,1512.605469,0.381140113,16.86145401,18.80333138,1377.791748,0.742114544,0.551433802,1552.366089,0.421773374,17.11932945,17.49537086,1465.519653,0.750340402,0.263716757,928.6878662,0.165282786,10.46558189,14.54953289,904.4402466,0.178374037,1mgml,flu,roi1,2016.265291,42802.95979,31383.63481,172.6945306,65476.02608,63944.92347,2673.268379,1921.829586,1360.999926,63786.58958,3679.649661,3684.384775,3680.932153,3684.584482,33624.13127,2024.04745,3576.458471,2931.553679,63986.38059,3418.927793,759.2391701,397,38556,31102,15,65535,65470,755,480,92,65159,844,848,858,854,33640,93,787,628,65433,1028,43,3432.272552,3335.751038,16475.44707,2246.470357,508.4485151,394.6176994,3897.888791,4285.241642,3117.377186,3610.357112,5804.009187,5801.292851,5832.214024,5831.372848,182.2825979,5307.694377,5692.614263,4801.353347,3719.129795,4657.848492,2100.537038,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,2,74.95613077,63.34969231,0.927725385,4.282923077,73.009,39.402,0.93416,4.4899,13,59.75645637,57.00510807,0.035414414,0.837649535,2,2483,50.7882,2072,63,32.8889,10,1.1374,0.016,0.0773,0.2058,131072,0.569990933,1495.11438,0.392286628,16.75449944,18.61474228,1409.750122,0.744350612,0.536976874,1595.395142,0.419225574,17.79815865,17.93386841,1537.706299,0.7409482,0.251094639,883.5944824,0.182304293,9.934587479,13.21251106,887.5422363,0.164497048,1mgml,flu,roi1,2204.823673,43542.45172,31361.39758,209.9116503,65466.19482,63775.16033,2981.693786,2137.617371,1424.519243,63634.19902,4008.444547,4013.865353,4019.038938,4021.561043,33625.03751,2447.840144,3844.721618,3203.043795,63826.98837,3727.423961,793.7512018,476,38556,31102,16,65535,65470,857,557,104,65159,1000,1002,1002,1003,33640,96.5,949,745,65433,1225,46.5,3774.024356,3655.580533,16645.27894,2279.36209,826.20188,552.5559697,4322.460171,4704.050332,3252.781556,3990.43523,6328.683418,6326.188037,6370.843724,6368.360299,126.5928721,5825.510319,6090.125408,5261.406106,4111.506633,5003.236631,2499.257653,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,3,80.1425625,69.0845,0.9057725,3.673225,71.5825,49.742,0.91636,3.60335,16,58.08042262,49.00142506,0.046210994,0.647384291,3,2483,50.7882,2024,52,38.9231,6,1.1559,0.0114,0.0776,0.3025,131072,0.561736107,1532.345825,0.417772353,17.06720543,19.59477997,1500.335815,0.738440633,0.536907971,1641.140381,0.436259449,18.06583214,18.62386513,1560.380859,0.741588771,0.254009664,892.9337769,0.167023987,10.02084923,13.97559834,963.4692383,0.167295784,1mgml,flu,roi1,2375.005452,43805.15691,31391.62829,225.8232139,65460.57524,63670.43671,3122.038942,2272.205889,1576.044391,63534.83601,4276.510282,4280.64726,4263.311197,4269.743952,33625.85492,2048.324074,4193.061158,3423.351863,63725.19851,4014.138258,779.1664531,576,38556,31102,13,65535,65470,1000,661,142,65159,1197,1198,1201,1199,33640,86,1112,898,65433,1474,37,4130.687484,4140.984412,16784.81204,2273.125413,816.709293,566.0448192,4672.465821,5137.515394,3609.675347,4293.4647,6784.635754,6775.389771,6823.253841,6820.397792,122.1027289,5339.938659,6607.942338,5694.140743,4435.945698,5313.668093,2445.925392,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,4,92.58478947,64.56905263,0.920207895,3.546994737,72.474,42.649,0.92731,3.3243,19,54.92307952,45.56400133,0.032068675,0.839712847,4,2550,49.4012,2116,54,39.1852,13,1.1654,0.0218,0.0881,0.2358,131072,0.528247356,1602.635376,0.409188867,18.07465172,22.19732666,1532.651123,0.708016157,0.508080542,1671.59082,0.446009785,18.61941528,18.92409897,1497.305664,0.722618937,0.281109273,953.1524658,0.156701237,10.90353775,17.19061279,1000.593079,0.198310956,1mgml,flu,roi1,2527.118915,44679.76171,31450.57138,265.2635967,65434.85096,63380.51775,3328.888853,2377.487394,1806.315579,63255.08326,4646.033819,4653.719708,4632.21254,4639.538598,33624.86523,1967.278817,4470.081174,3680.295829,63448.3949,4083.61122,1015.169608,600,45777,31102,12,65535,65470,1061,700,152,65159,1252,1254,1256,1257,33640,86,1139,936,65433,1532,58,4442.748915,4296.106732,16804.60084,2280.12505,820.0147026,669.4911982,5332.825265,5505.869205,4148.437786,4924.611775,7424.394039,7421.237945,7465.00463,7463.313737,109.1007396,5083.658445,7091.75247,6173.69912,5051.065633,5256.577594,3014.781468,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,5,97.94117647,67.14570588,0.936208235,3.885782353,83.418,60.63,0.93766,3.9044,17,60.95673614,26.00164229,0.024448993,0.826736693,5,2505,50.3245,2087,61,34.2131,7,1.1635,0.0202,0.0816,0.2097,131072,0.538995206,1530.921021,0.405112267,17.34683418,22.47087288,1508.930908,0.71238178,0.562304974,1518.75354,0.458717525,16.82177925,16.40779686,1361.020264,0.757650435,0.290166974,907.0133057,0.164667547,10.54740143,19.00752831,1046.207397,0.208655596,1mgml,flu,roi1,2528.815282,45210.3392,31453.80644,370.6604072,65412.15044,63345.54766,3316.527886,2383.879627,1937.929552,63221.18293,4606.169386,4612.810179,4590.443514,4597.903088,33623.0098,1975.513428,4514.778159,3665.339322,63413.81388,3999.476083,1229.228216,570,47875.5,31102,13,65535,65470,1020,661,128,65159,1165,1172,1186,1183,33638,86,1085,887,65433,1463,42,4630.543308,4413.59119,16770.09529,2346.866665,1105.770558,825.9256877,5628.701206,5633.691782,4824.878953,5247.988314,7718.138654,7714.526818,7728.803063,7732.18216,178.8829722,5204.465907,7542.90055,6412.943589,5358.102668,5239.751506,3648.724781,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,6,80.59838889,57.62216667,0.91254,3.577977778,67.4595,46.836,0.919615,3.2604,18,57.46448654,30.64712575,0.029521195,0.909213493,6,2110,60.1199,1797,52,34.5577,11,1.1255,0.0121,0.0701,0.1364,131072,0.569005191,1490.49231,0.386143625,16.69161797,20.58197784,1473.889771,0.735591471,0.597902834,1436.68457,0.405506015,15.67497444,14.47348213,1222.698242,0.78010273,0.278888375,899.7149658,0.173972517,10.37824345,18.25784874,1102.841064,0.19664146,1mgml,flu,roi1,2458.229871,45538.97698,31423.92689,450.2222529,65405.88033,63416.96737,3195.547355,2328.384102,1734.251829,63309.01443,4398.172305,4402.207535,4388.679633,4394.613665,33622.46465,2182.765548,4295.272528,3531.097737,63495.18653,3935.192165,1113.408865,536,49777,31102,13,65535,65470,939,609,109,65159,1105.5,1111,1119,1118,33637,86,1031,836.5,65433,1382,28,4724.612624,4575.723459,16533.66465,2393.211984,1458.71322,962.907774,5606.590913,5715.525548,4360.577752,5151.082169,7628.979132,7619.006512,7667.442282,7665.417026,135.4547549,5711.251537,7321.846838,6442.780809,5287.429331,5338.157062,3532.599818,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,7,87.64923529,55.87447059,0.924927647,3.987570588,84.289,52.146,0.9272,4.0259,17,54.78716433,25.42836708,0.043245273,0.762292419,7,2059,61.6586,1787,57,31.3509,12,1.1191,0.0091,0.0669,0.03719,131072,0.610004902,1378.899048,0.375515848,15.34386921,17.82114601,1338.196289,0.765704274,0.639022231,1310.721191,0.385990739,14.26458168,12.39022923,1068.37085,0.804791272,0.263567835,883.105896,0.173416436,10.14444923,16.61777878,1060.959106,0.182869017,1mgml,flu,roi1,2478.595112,46036.86317,31380.47183,369.7346594,65424.67825,63393.21587,3191.608735,2326.899169,1629.892497,63288.33522,4431.000549,4434.962948,4415.955333,4422.803841,33621.63563,2616.987635,4362.371369,3557.356344,63469.73505,4066.607122,932.1373327,588,50700,31102,11,65535,65470,979,648,108,65159,1209,1216,1217,1218,33632,96,1139,916,65433,1510,24,4717.173317,4494.58543,16421.18095,2351.722481,1195.851692,834.7939094,5597.5676,5649.178967,4096.545197,5147.734896,7607.661156,7596.451186,7639.085435,7638.205368,131.9270143,6146.588203,7353.909597,6429.120978,5293.5444,5474.53998,3080.846622,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,8,88.548925,57.924375,0.9295575,3.901325,89.2045,47.264,0.940735,3.83385,16,59.37067554,33.8215855,0.041987953,1.064372918,8,2474,50.9802,2091,66,31.6818,11,1.1483,0.0105,0.0782,0.0408,131072,0.623944819,1275.619507,0.365222037,14.37874889,16.48626709,1219.712036,0.777006328,0.663190305,1163.030518,0.362261623,12.92228889,11.86168766,1023.601624,0.820118964,0.252235353,809.7385864,0.187768385,9.360752106,15.46120644,949.3736572,0.173753887,1mgml,flu,roi1,2601.078696,47579.6647,31454.56274,342.8270378,65416.86565,63140.50558,3425.032879,2482.489254,1762.957775,63055.88444,4718.154783,4723.325278,4720.746899,4725.157268,33620.9696,1898.589533,4555.611915,3768.653644,63227.62371,4192.45396,1043.267815,657,51807,31102,10,65535,65453,1081,700,118,65159,1365,1371,1367,1368,33627,79,1248,1024,65433,1677,28,4808.357393,4657.324237,16533.6781,2460.294077,1126.05384,845.6104699,6036.084354,5917.654212,4515.109068,5595.485658,7964.74001,7957.040963,8016.312873,8012.97771,121.2848665,5060.701584,7666.676879,6653.920174,5738.850628,5430.653666,3361.234943,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,9,73.32339286,70.95042857,0.929759286,4.046571429,66.0435,47.372,0.938975,4.2574,14,47.84724966,54.15801528,0.02700396,0.946856368,9,2658,47.3126,2226,56,39.75,10,1.1601,0.0149,0.0793,0.04085,131072,0.631218791,1237.208984,0.391794711,13.90983963,16.18376541,1232.684448,0.783534884,0.662369609,1163.967529,0.405467123,12.94068336,12.09530449,1052.145752,0.819456875,0.24244611,762.6889038,0.189251691,8.792194366,14.64196777,930.8192749,0.164594442,1mgml,flu,roi1,2756.948907,47435.82104,31332.59724,355.8060016,65402.56403,62967.91092,3588.988609,2604.957952,1888.342545,62890.27998,4968.74162,4973.93987,4963.495584,4969.398575,33618.81812,2436.508016,4828.556228,3978.624718,63058.74734,4391.191811,1105.179899,747,51824,31102,11,65535,65429,1183,778,142,65159,1548,1557,1557,1558,33624,86,1438,1163,65413,1893,27,4987.379679,4770.990918,16276.14087,2292.125182,1039.185758,856.1720483,6318.35948,6058.958553,4821.125738,5886.756798,8232.076064,8224.230334,8263.992049,8263.895549,152.4352016,6272.802375,7982.284493,6884.563651,6022.284051,5515.210171,3509.950233,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,10,91.24486667,63.36125,0.925514167,3.547808333,84.1705,42.8295,0.92488,3.48125,12,45.75026895,40.71912419,0.033719831,0.829800719,10,2016,63.0164,1666,48,34.7083,7,1.0931,0.0109,0.0577,0.01451,131072,0.70406884,1026.977051,0.448156595,11.05026627,13.25436401,1135.54187,0.83252424,0.761285067,857.5264282,0.520664096,9.043606758,9.13164711,887.4544067,0.876287341,0.217203632,724.3016357,0.190108374,7.955015659,12.40690327,913.5037842,0.138843313,1mgml,flu,roi1,2688.008875,46721.36342,31364.94849,260.8791141,65430.86788,63142.97118,3115.385503,2288.418908,1940.188428,62991.90279,4787.927219,4793.183524,4678.263835,4700.883547,33622.50352,2461.438703,5001.642924,3813.45551,63196.95271,4430.102561,885.7091983,764,51713,31102,8,65535,65435,1061,700,172.5,65159,1568,1574,1532,1541,33627,87,1573,1166,65416,1926,29,4849.632105,4240.983229,15862.52263,2362.580403,820.5531254,707.7207016,5913.56914,5315.896999,5010.617532,5637.173434,7937.559174,7931.935628,7795.466371,7823.370964,113.3365923,5994.392239,8179.672918,6593.086745,5697.868156,5677.713695,3018.865946,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,11,99.977,64.4745625,0.931305625,3.75549375,87.1085,63.1365,0.931475,3.87165,16,47.85084469,28.22198276,0.031495979,0.666389391,11,2085,60.8647,1722,56,30.75,5,1.1046,0.0099,0.0597,0.09127,131072,0.703479707,1007.053406,0.467297405,10.91348839,13.2496233,1140.478882,0.832526565,0.755579829,810.2974854,0.519806802,8.661561012,9.5846138,936.0091553,0.873570681,0.212114334,716.0216064,0.198595047,7.894847393,11.90240765,879.0341187,0.135548845,1mgml,flu,roi1,2730.362118,46860.44259,31351.06193,272.9946368,65427.77412,63123.51853,3215.470899,2366.560054,1908.65325,62980.77813,4839.509062,4844.252514,4743.488183,4763.884063,33621.76711,2391.230731,5026.366548,3871.003514,63180.05515,4490.163913,902.8663966,807,51766,31102,10,65535,65433,1102,726,180,65159,1652,1657,1606,1614,33627,92,1682,1230,65415,2036,29,4840.295984,4339.101927,16050.13968,2377.424777,867.4210745,725.0353815,5914.099498,5445.385858,4932.435002,5639.996168,7909.928297,7903.794662,7809.845786,7830.80195,157.3842899,5950.584997,8091.348265,6597.722986,5710.352411,5654.97789,3107.662456,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,12,101.9865,72.86183333,0.929171667,4.022825,82.4795,62.0485,0.92882,3.701,12,45.222568,37.51314785,0.027290241,1.086213562,12,2386,52.9342,1960,51,38.4314,10,1.1114,0.0144,0.0768,0.04597,131072,0.654835701,1135.510986,0.423862308,12.75319195,14.83885574,1168.460083,0.800660133,0.70104003,955.8417969,0.47545734,10.62660027,11.71873856,1085.260986,0.842395663,0.228095144,741.7212524,0.205224931,8.455536842,12.76111507,824.6055908,0.1520897,1mgml,flu,roi1,2792.495473,47825.51154,31273.14574,286.4780288,65415.41653,62977.67205,3492.893898,2539.341486,1937.014679,62877.80478,5019.369818,5025.355654,4977.996586,4989.881845,33620.94727,2441.538173,5005.668877,4009.856476,63059.71449,4494.681034,1033.70365,817,51923,31102,11,65535,65429,1204,791,170,65159,1681,1688,1657,1665,33627,104,1655,1258,65412,2059,37,4887.991399,4506.295574,16494.20191,2397.992894,951.2429021,799.3185378,6230.419879,5785.126225,4995.227604,5872.506517,8165.12833,8163.761911,8141.631094,8151.287764,153.6037406,6035.258897,8039.640443,6766.4756,5962.149953,5539.636837,3478.639399,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,13,88.2495,56.5880625,0.905146875,4.01584375,96.6605,49.2585,0.919495,4.03645,16,59.74026008,29.56239864,0.046751043,0.968473055,13,2475,50.9588,1981,64,30.9531,9,1.1316,0.013,0.0799,0.08277,131072,0.647533476,1206.154663,0.387382537,13.48107147,14.63304329,1141.128296,0.795959651,0.697815776,1003.019958,0.432292372,11.13252831,10.92281914,972.4333496,0.840421796,0.231068522,796.1914063,0.187846929,8.998893738,12.33852577,822.1588745,0.152588263,1mgml,flu,roi1,2692.692597,48433.11459,31359.64729,281.8578555,65423.35031,63043.30992,3362.057852,2463.30398,1864.647796,62930.39996,4858.596227,4863.67887,4805.258041,4818.817718,33619.70172,2712.592952,4896.33446,3867.464872,63116.3694,4408.529006,957.6426217,707.5,51993,31102,9,65535,65436,1041,687,152,65159,1461,1469,1434,1442,33626,97,1465,1087,65418,1801,35,4814.810515,4564.613419,16412.20122,2562.131794,1035.779167,804.4080971,6074.210174,5722.799116,4893.245597,5718.251218,7998.668575,7991.203548,7967.215005,7977.079095,150.2477852,6470.475702,8011.26437,6638.917972,5816.838741,5609.136771,3299.641133,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,14,99.11377895,56.69252632,0.917860526,3.759331579,127.57,49.727,0.93825,3.8932,19,57.09057692,30.37402876,0.046148537,0.897820363,14,3033,41.2156,2411,68,35.4559,15,1.1921,0.0134,0.0915,0.1109,131072,0.619790018,1289.304688,0.374725074,14.55222988,15.85137939,1195.575317,0.777485371,0.679312348,1111.946777,0.376568705,12.4022274,10.68451023,924.8787842,0.82949841,0.234444112,764.1942749,0.164869443,8.789377213,13.3563242,858.1413574,0.158286542,1mgml,flu,roi1,2784.855434,48852.24153,31388.87553,351.2489494,65401.60744,62919.0696,3540.18085,2602.556088,1925.612911,62823.84928,5015.389823,5020.487105,4970.368481,4982.722497,33620.28883,2558.028986,4959.216531,3998.236341,63005.3424,4469.644168,1085.540952,769,52023,31102,13,65535,65420,1143,765,155,65159,1574,1580,1537,1547,33624,93,1573,1174,65402,1939,29,4990.602887,4789.472694,16521.32157,2591.702802,1233.001726,927.8634842,6352.811905,5965.362572,5110.050629,5965.098696,8250.019908,8242.961967,8235.854657,8243.372928,121.0890582,6115.831762,8101.508045,6867.208131,6069.565205,5632.02993,3672.051329,D1,N8,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,15,109.5071895,54.82773684,0.897178421,3.736784211,127.69,45.615,0.90968,3.3936,19,50.34510786,24.64268574,0.062468061,1.012493844,15,2868,43.7019,2282,66,34.5758,13,1.1693,0.0097,0.0815,0.09249,131072,0.639186442,1252.638184,0.407659382,13.8555851,15.64112091,1240.743164,0.790485084,0.694794536,1088.991943,0.413554788,11.90030193,10.46032524,924.5426636,0.83809793,0.232491672,775.7250977,0.162954092,8.761259079,13.61637592,939.5067139,0.154334113,1mgml,flu,roi1,2852.241891,47863.82152,31324.85853,371.3225148,65402.6158,63029.14196,3404.225864,2529.104006,1983.292761,62908.41354,5019.715182,5023.430937,4929.00891,4948.565139,33620.41856,2191.447368,5193.336248,4029.517643,63103.00809,4638.017393,1022.70243,845,51963,31102,12,65535,65429,1183,778,174,65159,1678,1688,1643,1656,33627,93,1736,1274,65411,2132,26,5106.428622,4682.689561,16622.82659,2451.150923,1215.050643,912.9267514,6210.313541,5806.478125,5117.087316,5838.214032,8226.982739,8217.184315,8155.960939,8172.067548,138.0282174,5590.428607,8317.518596,6910.11616,5926.82825,5796.606823,3436.536845,D1,N8,t
